"lastword","KNP","lambda"
"3","and",0.0235282651863703,0.282072923700203
"1","the",0.0144239554611646,0.233216692586833
"6","in",0.0138513829048514,0.179531420268798
"2","to",0.0132747495502666,0.154218990967173
"5","of",0.011353991967741,0.248442765240478
"9","for",0.00941699119212855,0.216330122267506
"8","is",0.00898654657532578,0.199444444444444
"4","a",0.00835306204493679,0.265496828752643
"7","i",0.00788200944541678,0.0786668300453376
"10","that",0.00783734066442781,0.228858663512714
"13","on",0.00762617915429815,0.208488458674609
"14","with",0.00704142420316986,0.270016915703411
"21","but",0.00594500866980431,0.187033195020747
"17","at",0.00585567110782638,0.242693661971831
"12","it",0.00537243611349119,0.133520179372197
"23","as",0.00481610675026497,0.211381239242685
"33","or",0.00474301238137393,0.423512289780078
"27","from",0.00455215486260289,0.300552922590837
"15","was",0.00435723654556013,0.262990117947083
"11","you",0.00408110226308288,0.139989235737352
"32","by",0.00386587995468149,0.387096774193548
"20","this",0.00384151516505115,0.251897533206831
"24","he",0.00365877924282355,0.18375
"22","are",0.00363441445319321,0.291194968553459
"42","said",0.0034151313465201,0.230487804878049
"16","my",0.00327300340700975,0.316677535050538
"28","so",0.00313899706404285,0.222536348949919
"25","we",0.00302935551070629,0.154079650315687
"51","who",0.00284255879020698,0.291098636728148
"49","has",0.00281819400057663,0.251357641582622
"48","when",0.00276134282477249,0.163656884875846
"35","will",0.00272073484205525,0.201183431952663
"31","its",0.00268824845588146,0.304534676941316
"46","if",0.00240399257686076,0.114575645756458
"30","all",0.00238774938377386,0.226905311778291
"34","they",0.0023105942166111,0.205739299610895
"39","about",0.00230653341833938,0.266440677966102
"37","out",0.00226186463735041,0.1815
"19","have",0.00224156064599179,0.186868686868687
"45","up",0.00212379749611179,0.206692913385827
"38","his",0.00210755430302489,0.445891783567134
"77","which",0.00209943270648144,0.306040268456376
"60","she",0.0020588247237642,0.260306807286673
"36","just",0.00198573035487316,0.274535809018568
"58","were",0.00197354796005799,0.377068014705882
"55","her",0.00196542636351454,0.409658617818485
"40","your",0.00195730476697109,0.444274028629857
"43","like",0.0019085751877104,0.251595744680851
"26","not",0.00188827119635178,0.264532019704434
"41","one",0.00188827119635178,0.234570041608877
"29","me",0.00185172401190626,0.195489762036525
"50","im",0.00183954161709109,0.233173076923077
"44","an",0.00172583926548281,0.403846153846154
"54","more",0.00171771766893936,0.347302904564315
"52","had",0.00170959607239591,0.2417004048583
"47","what",0.00169335287930901,0.168763878608438
"61","would",0.00164868409832005,0.20889748549323
"88","after",0.00161619771214625,0.277476780185758
"83","into",0.00161213691387453,0.273952095808383
"96","because",0.00159183292251591,0.173360655737705
"64","there",0.00157965052770074,0.13807847082495
"62","some",0.00155934653634211,0.430693069306931
"66","their",0.00151467775535315,0.524459320288363
"93","over",0.00151061695708142,0.259569377990431
"65","no",0.00149843456226625,0.367439516129032
"69","now",0.00147813057090763,0.264806378132118
"105","today",0.00144564418473384,0.23869801084991
"53","can",0.00138473221065797,0.235557363710334
"95","then",0.00132382023658211,0.380452342487884
"115","where",0.00131569864003866,0.206896551724138
"76","them",0.00129945544695176,0.265847347994825
"103","too",0.00125072586769107,0.262900355871886
"86","last",0.00123042187633245,0.199236641221374
"78","people",0.00121823948151728,0.291891891891892
"126","before",0.00121011788497383,0.286764705882353
"70","our",0.00119387469188693,0.528034682080925
"72","how",0.00119387469188693,0.186385255648038
"79","him",0.00117763149880003,0.239613180515759
"107","even",0.00112484112126762,0.318435754189944
"117","right",0.00112078032299589,0.232919254658385
"81","back",0.00111265872645245,0.201111111111111
"122","off",0.0010720507437352,0.256914893617021
"142","while",0.00106392914719176,0.333333333333333
"123","here",0.00105580755064831,0.233870967741935
"146","through",0.00105580755064831,0.312015503875969
"63","new",0.00104768595410486,0.420271629778672
"59","time",0.00103144276101796,0.213060057197331
"82","than",0.00100301717311589,0.306463595839524
"151","lol",0.000958348392126924,0.227083333333333
"127","down",0.0009542875938552,0.250568181818182
"119","thats",0.000946165997311752,0.221698113207547
"57","do",0.00092586200595313,0.156901041666667
"68","day",0.00092586200595313,0.260833333333333
"94","only",0.000921801207681406,0.381009615384615
"73","good",0.000909618812866233,0.312424969987995
"170","since",0.000909618812866233,0.294117647058824
"166","around",0.000901497216322785,0.3
"87","us",0.000897436418051061,0.335889570552147
"99","well",0.000889314821507612,0.254215851602024
"18","be",0.000885254023235888,0.283806499813224
"91","also",0.000881193224964163,0.447138314785374
"74","love",0.000877132426692439,0.223148148148148
"100","could",0.000848706838790369,0.270304568527919
"112","two",0.000848706838790369,0.44091796875
"71","dont",0.000824342049160024,0.186406067677946
"56","get",0.0008202812508883,0.20378331900258
